EmployeeID,Department,EmploymentStatus,EmploymentType,JobTitle,Country,OfficeLocation,ZipCode,State,ManagerID,HireDate,TerminationDate,BaseSalary,Bonus,Commission,TotalCompensation,TaxWithheld,NetPay,OvertimeHours,TrainingCredits,Email
E13670,HR,Active,Intern,Senior Analyst,Germany,Munich,75979,VI,MHR4,2021-07-16,,58467.61,4857.75,0.0,63325.36,15831.34,63825.36,9.6,1589,e13670@corp.com
E23799,Finance,Active,Part-Time,Junior Associate,USA,Austin,10002,NY,MFI3,2021-04-27,,37787.52,7317.94,0.0,45396.61174751702,11349.15,34047.461747517016,3.7,1778,e23799@corp.com
E48515,Engineering,Active,Contractor,Director,Germany,Munich,99513,,MEN7,2017-11-10,,62294.8,12402.54,0.0,74697.34,18674.34,75197.34,0.0,562,e48515@corp.com
E108956,Support,Active,Executive,Junior Associate,UK,London,14987,MN,MSU8,2015-04-03,,84786.59,8057.46,0.0,92870.58005860446,23217.65,69652.93005860446,0.0,584,e108956@corp.com
E41154,Finance,Active,Executive,HR Manager,Germany,Berlin,77709,ME,MFI4,2016-04-08,,38881.37,7630.06,0.0,46557.3427484367,11639.34,47057.3427484367,0.0,669,e41154@corp.com
E34011,Sales,Active,Hourly,Junior Associate,USA,Austin,10011,NY,MSA4,2022-04-14,,129122.57,5546.07,14057.11,148698.90602460253,37174.73,111524.17602460252,10.6,1951,e34011@corp.com
E26616,Legal,Active,Part-Time,HR Manager,UK,London,75542,AS,MLE9,2016-06-12,,104173.81,7299.19,0.0,111473.0,27868.25,83604.75,5.6,235,e26616@corp.com
E70569,Support,Active,Contractor,Junior Associate,UK,Manchester,98949,SC,MSU4,2019-01-31,,148989.87,6441.04,0.0,155425.237356765,38856.31,116568.927356765,0.0,298,e70569@corp.com
E70461,Finance,Active,Hourly,Director,Germany,Munich,97843,,MFI5,2016-05-02,,142351.38,5486.79,0.0,147954.02720297917,36988.51,148454.02720297917,15.6,1519,e70461@corp.com
E38089,Engineering,Active,Contractor,Junior Associate,UK,Manchester,88175,NV,MEN3,2017-08-13,,56895.55,3740.91,0.0,60636.46000000001,15159.12,45477.34,0.0,222,e38089@corp.com
