visit_id,patient_id,age,gender,department,admission_type,insurance_provider,discharge_status,ssn,blood_type,room_number,nurse_staffing_ratio,admission_date,discharge_date,systolic_bp,diastolic_bp,accommodation_cost,medicine_cost,procedure_cost,total_bill_amount,insurance_coverage_amount,patient_copay_amount
dbf1ee3e-9506-4ffd-9683-403ddb571dd6,6487da67-279f-4e1b-b370-92e9c7bdc516,72,Male,Cardiology,Urgent,BlueCross,Discharged,413-91-4664,B-,566,8,2023-10-13,2023-10-30,113,71,621.0,1847.0,12813.0,15281.0,13125.75,2155.25
92717125-8cca-4d17-a08b-6d0dd660dfbb,bf55924c-633a-4b42-a2a6-8ec8b9d58aff,43,Male,Surgery,Trauma,Medicare,Discharged,000-00-0000,B-,510,3,2023-02-02,2023-02-04,93,75,15000.0,10000.0,25127.0,49713.0,45176.31,4536.69
96b9533c-6bf4-4b48-8afd-e0452c09d72d,d59dc544-bdb9-4733-beac-308a996046c6,31,Female,Pediatrics,Emergency,UnitedHealth,Active,999-99-9999,A+,380,2,2023-05-12,,100,68,15000.0,10000.0,1870.0,26870.0,0.0,0.0
d40224a0-0812-49dd-9a35-94ed46f39080,6a63d576-e9c3-4951-901f-fceb02fb6609,26,Other,Neurology,Trauma,,Discharged,000-00-0000,O+,459,1,2023-09-05,2023-09-22,89,67,977.0,2806.0,49564.0,53150.0,0.0,53200.0
feb722f2-12a4-4fce-9090-6c64ac53b6b7,5f151260-9619-4e12-9d88-2793eca4aff3,99,Female,Neurology,Trauma,Aetna,Discharged,UNKNOWN,B-,450,1,2023-08-05,2023-08-29,77,64,3195.0,1070.0,46665.0,50930.0,43335.21,7594.79
89cd6d12-ad24-4383-b263-16692533d063,2015a659-c7b4-478c-ba82-3f2dcef4f130,29,Other,Oncology,Emergency,BlueCross,Discharged,999-99-9999,B-,232,8,2023-10-14,2023-10-23,134,86,753.0,1249.0,17385.0,19387.0,16278.65,3108.35
deab0292-6a34-4de6-bc54-7dd75add71de,58b4e65b-ffa3-4983-a04d-cae4fc3d9a02,45,Male,Pediatrics,Elective,Cigna,Discharged,438-46-3647,B-,331,1,2023-05-13,2023-05-26,111,70,4780.0,2093.8588258191107,4885.6705935779255,11759.529419397037,10628.629419397035,1130.9
15e502d8-dfce-4899-8494-a04354859d49,3287fdbd-3fca-429c-94fe-cfc856fc0ddc,52,Male,Surgery,Urgent,BlueCross,Active,436-86-9274,O+,423,7,2023-11-21,,98,65,15000.0,10000.0,4247.0,29247.0,0.0,0.0
bc817142-d01c-4315-940e-de671e46a935,18969ebc-1097-4d02-ae7c-d0730068b13d,53,Other,Cardiology,Trauma,Medicare,Discharged,999-99-9999,A-,138,5,2023-05-19,2023-05-26,101,74,15000.0,10000.0,31549.0,56998.0,53734.44,3263.56
ac6645da-3aa1-43ce-8901-9e7445c05e57,2429462b-c3b3-4e21-b914-b93001ff303c,59,Male,Neurology,Urgent,,Discharged,941-21-1138,B+,325,7,2023-04-19,2023-05-18,109,78,3583.0,1968.0,17087.0,22918.0,0.0,22968.0
cff0b71c-5d26-41dd-8b41-b056eb64aed6,5ffa6f9d-21b1-44a2-a5b0-00e440413fbd,77,Male,Neurology,Urgent,Aetna,Active,271-76-3917,O+,452,6,2023-03-10,,109,89,4387.0,1927.0,18470.0,24784.0,0.0,0.0
91bf8b70-213f-4ca6-8e60-4cbe3e11da83,ef25bb43-2a5f-4996-b6b2-67fff9a5cd84,99,Female,Oncology,Emergency,Cigna,Discharged,999-99-9999,B-,270,1,2023-10-17,2023-11-04,102,71,1826.0,1524.0,14076.0,17426.0,15748.74,1677.26
c6ec7a92-22e7-44b8-890e-0274093743c4,29b1e487-d0b6-49ea-b3be-b0823983e2e9,91,Female,Pediatrics,Emergency,Private,Active,999-99-9999,B+,400,8,2023-06-25,,113,68,1631.0,577.0,19512.0,21294.0,0.0,0.0
cbf4e608-1373-47c4-aaa6-12b7338e14eb,fe788a6d-d576-49bc-beba-dda3d2e5dcfd,94,Female,Cardiology,Urgent,BlueCross,Discharged,950-83-9521,AB-,156,2,2023-07-15,2023-07-18,88,74,1811.0,1243.0,5960.0,9014.0,8540.53,473.47
45d6dfce-7dc7-47ae-8ee8-4892eacd1b6e,86f5da53-6710-43e7-a321-8daf74d5a7d0,68,Male,Oncology,Urgent,Aetna,Discharged,527-50-1231,A-,237,1,2023-04-24,2023-05-17,111,82,698.0,2594.0,19519.0,22811.0,20947.77,1863.23
95ff6057-1ddf-4449-b3cf-8fb597ee886b,46db84d3-5809-4889-b7be-ce97cbad7396,36,Female,Oncology,Trauma,Cigna,Active,UNKNOWN,AB-,212,4,2023-12-28,,95,79,1720.0,625.0,23001.0,25346.0,0.0,0.0
a3f37352-ccba-4b3d-ab37-3cd2613213fc,d3fdae29-f27a-4199-9b23-a0b446736c6e,30,Female,Surgery,Elective,Medicare,Transferred,714-83-6234,O-,368,9,2023-08-23,,91,78,2703.0,2502.5633297031577,5839.3144359740345,10804.877765677193,0.0,0.0
103431f3-92bf-4d38-9847-b8d189602881,e8b2dbe7-d758-483f-9faa-7defae5c3183,97,Male,Cardiology,Trauma,Private,Discharged,000-00-0000,A-,169,3,2023-07-11,2023-07-27,107,84,2918.0,1714.0,40245.0,44539.0,41321.07,3217.93
d0572fdd-5d23-40ad-8c1f-a01115072b8f,3f300a96-28ff-4df4-96c8-ce2b6de1fa92,70,Other,Surgery,Emergency,Cigna,Transferred,UNKNOWN,O-,511,5,2023-04-17,,79,68,1827.0,2248.0,16532.0,20607.0,0.0,0.0
ac656a28-8265-48a5-8ae5-4969cf8e5751,2a284237-ad3d-432b-9f1d-2fff5bf9bf09,99,Male,Oncology,Elective,,Transferred,439-98-8882,AB-,268,2,2023-02-01,2023-01-30,123,74,2186.0,1848.729520753013,4313.702215090364,8059.431735843376,0.0,8109.431735843376
7dfa8782-0234-4ea1-8fd3-f151dc1fa5f8,fee0c592-ed65-45b6-96e4-84e84b99f1e7,76,Male,Cardiology,Urgent,BlueCross,Deceased,151-46-2889,B-,126,4,2023-03-14,2023-03-10,11,15,3952.0,993.0,8450.0,13395.0,0.0,0.0
67abf649-dd07-4b20-8d8b-dc90ee501c58,d300b98b-ecd2-4c81-b43b-0a9efd3b2208,12,Other,Neurology,Emergency,UnitedHealth,Transferred,999-99-9999,O-,421,2,2023-11-16,,96,73,15000.0,10000.0,7821.0,32821.0,0.0,0.0
54cdae89-6e6e-43f7-b598-0f7da7186c31,d3c9df1e-08e7-4741-ac58-df3835f9ae33,85,Other,Neurology,Urgent,,Discharged,770-27-8218,AB-,361,8,2023-04-29,2023-05-10,93,75,1043.0,1414.0,4540.0,6958.0,0.0,7008.0
38439ae1-c386-49d9-a559-aa802ee0d80d,4e2faa7a-289f-4469-ba58-e6a4e5d080a8,37,Male,Surgery,Urgent,,Discharged,335-28-9488,A-,544,5,2023-11-30,2023-12-12,83,67,15000.0,10000.0,11288.0,36238.0,0.0,36288.0
147f89e3-8504-4479-9db6-08042625e9f9,0ea87824-5579-405f-9970-0502c9dce4b3,32,Male,Oncology,Urgent,BlueCross,Discharged,164-28-4354,O+,355,7,2023-12-22,2023-12-27,97,78,808.0,1819.0,2080.0,4707.0,3815.85,891.15
bfd07eea-4bc0-4e9e-bb73-c50bdcc19c6b,f9582dd3-a78b-4783-be63-d9fd3c0cbf23,27,Other,Pediatrics,Emergency,BlueCross,Transferred,000-00-0000,AB+,435,6,2023-02-20,,128,89,15000.0,10000.0,4851.0,29851.0,0.0,0.0
2f599911-398e-4286-ad52-7c4560c285d0,e92048d3-0e00-4df4-9dcc-cd41defe61ef,54,Female,Surgery,Trauma,UnitedHealth,Discharged,000-00-0000,O+,397,6,2023-12-25,2023-12-29,116,88,1964.0,2993.0,49233.0,54190.0,44037.66,10152.34
482bb27d-7c8c-4a26-b262-06c45cb13623,5c6de8fc-d9dd-4099-b255-369fbccb61fc,18,Other,Surgery,Trauma,Private,Discharged,999-99-9999,A+,119,6,2023-02-12,2023-02-13,125,89,598.0,929.0,43968.0,45857.0,37869.75,7987.25
9ce1049f-d2e2-4f72-8938-6dff995bb5e9,468d6002-e104-4d5a-9738-360501b2e597,99,Other,Surgery,Trauma,Private,Transferred,999-99-9999,O-,524,3,2023-02-23,,115,78,2502.0,134.0,28358.0,30893.0,0.0,0.0
40d2e6c5-bc8c-4134-aeea-cb17b83bf8cb,6e3d4719-a81b-4ea7-8751-6077cf553540,33,Female,Oncology,Emergency,Medicare,Discharged,999-99-9999,AB+,248,3,2023-08-24,2023-08-28,112,64,15000.0,10000.0,14513.0,39380.0,37219.63,2160.37
