Country,Claim_Status,Incident_Report_Type,Policy_Type,Role,Risk_Level,Asset_Type,Policy_Source,Tax_Exempt,Payment_Frequency,Plan_Type,Fiscal_Year,Claim_Reference_Number,Zip_Code,City,State,Vehicle_VIN,Vehicle_Make,Vehicle_Model,Vehicle_Year,Incident_Date,Report_Date,Policy_Holder_Age,Property_Address,Mailing_Address,Address_Verification_Status,Net_Premium,State_Tax,Gross_Premium,Policy_Family_ID,Premium_Amount,Coverage_Limit,Base_Payout,Extra_Expenses,Legal_Fees,Total_Claim_Cost
USA,Pending_Review,Standard,Travel,Beneficiary,Low_Risk,Personal_Item,Online,Yes,Monthly,Standard_Individual,2017,REF-118003,49716,Port Jose,Colorado,SPE 026,Mora-Snow,Child,2004,2025-05-24,2025-06-06,45,2659 Rodriguez Junctions Apt. 424,2659 Rodriguez Junctions Apt. 424,Verified_Match,3462.73,0.0,3462.73,FAM-17820,3462.73,282571.48,10458.12,192.33,8530.58,19794.82
UK,Open,Standard,Liability,Secondary_Driver,High_Risk,Passenger_Vehicle,Partner,Yes,Monthly,Standard_Individual,2003,LEGACY-309,36930,Lake Richardhaven,Pennsylvania,GET 285,"Jones, Burton and Moore",Dream,2019,2022-04-18,2022-04-26,14,22371 Anthony Creek Suite 430,22371 Anthony Creek Suite 430,Verified_Match,1460.59,0.0,1460.59,FAM-12186,1460.59,59258.22,48492.0,3998.5,7072.84,59751.56
France,Settled,Standard,Liability,Secondary_Driver,Unrated,Personal_Item,Agent,No,Quarterly,Standard_Individual,2006,LEGACY-643,2886,South Margaretshire,South Dakota,7165,"Daniels, Bates and Medina",Trip,1997,2022-08-27,2022-09-03,89,01729 Porter Court Suite 074,01729 Porter Court Suite 074,Verified_Match,651.52,52.12,732.5573610013686,FAM-18289,732.56,329676.54,12291.97,7181.13,2324.56,21797.66
USA,Open,Urgent,Auto,Policy_Holder,Standard,Personal_Item,Online,No,Quarterly,Standard_Individual,2022,REF-103873,84479,Meaganville,Delaware,6-8051N,"Jackson, Brown and Kelly",President,2003,2022-01-13,2022-01-26,7,62289 Jimenez Shore,0535 Lisa Isle,Mismatch,3906.22,312.5,4250.784751942443,FAM-9458,4250.78,197002.08,14156.8,2667.92,4679.92,21876.79
USA,Open,Standard,Life,Beneficiary,Low_Risk,Personal_Item,Online,No,Annual,Standard_Individual,2021,REF-138474,25775,Carrilloland,Minnesota,1KZ 069,"King, James and Hale",Speech,2019,2023-02-02,2023-02-14,39,572 Hopkins Spurs,369 Williamson Throughway,Mismatch,2033.12,162.65,2195.77,FAM-1470,2195.77,489611.47,49265.31,4853.16,5506.32,60041.53
USA,Settled,Standard,Travel,Beneficiary,Standard,Boat,Online,No,Monthly,Corporate_Fleet,2009,LEGACY-362,3139,Pittmanton,Alaska,204 TKL,"Rivera, Reynolds and Collins",Almost,2018,2024-04-21,2024-05-05,73,286 Joel Overpass Suite 895,7468 Guzman Track,Manual_Review,2633.46,210.68,2859.377293766901,FAM-16314,6810.65,88578.68,38738.8,274.55,2735.46,41748.81
USA,Settled,Standard,Auto,Secondary_Driver,Unrated,Passenger_Vehicle,Partner,No,Monthly,Family_Economy_Bundle,2013,LEGACY-128,35114,Port Shane,Pennsylvania,MXR6348,Richardson-Le,Blue,2020,2024-04-01,2024-04-18,15,893 Anthony Neck,4609 Reginald Mission,Mismatch,613.84,49.11,700.1985262240396,FAM-10558,231.57,397141.71,32094.93,2674.79,3131.26,37900.98
Canada,Pending_Review,Standard,Home,Primary_Driver,Low_Risk,Commercial_Truck,Agent,No,Annual,Family_Economy_Bundle,2011,LEGACY-437,26364,Lake Nancy,New Jersey,750 7374,Thompson-Johnson,Themselves,2011,2025-11-30,2025-12-13,13,5381 Dakota Cliff,5381 Dakota Cliff,Verified_Match,1266.06,101.28,1367.34,FAM-15294,852.03,105534.13,28356.0,112.46,6941.21,36005.27
USA,Settled,Standard,Auto,Secondary_Driver,Standard,Personal_Item,Online,No,Annual,Standard_Individual,2020,REF-119490,61621,North Joelville,New York,WOM-248,Sanders-Mcclure,Republican,1997,2022-02-13,2022-02-27,2,496 Scott Plains Suite 533,9954 Morgan Court,Mismatch,4163.96,333.12,4497.08,FAM-12491,4497.08,96565.58,47488.54,2327.64,9107.75,58923.93
Canada,Settled,Standard,Property,Policy_Holder,Low_Risk,Personal_Item,Online,No,Monthly,Standard_Individual,2010,LEGACY-159,45691,Lake David,Utah,17M YE5,"Rosales, Sutton and Martinez",Long,2014,2022-10-15,2022-10-30,48,781 Carter Glens,9737 Renee Divide Suite 674,Manual_Review,3589.97,287.2,3924.089926740645,FAM-1682,3924.09,262739.57,21626.86,1034.41,8412.99,31074.26
