FName,LName,Gender,AreaCode,Phone,City,State,Zip,MaritalStatus,HasChild,Salary,Rate,SingleExemp,MarriedExemp,ChildExemp
Naveed,Heijes,F,504,1001763,EVANGELINE,LA,70537,M,N,95000,6.0,0,9000,0
Luo,Constantineau,M,323,1000012,FORBESTOWN,CA,95941,M,N,18000,3.7576172,0,174,0
Toine,Zamboni,M,912,1000860,DEMOREST,GA,30535,M,N,54000,6.0,0,5400,0
Xiaoqiang,Verplaetse,M,857,1001299,NEW BEDFORD,MA,2746,S,Y,29000,5.3,3575,0,1000
Paola,Moeller,F,304,1018438,THOMAS,WV,26292,S,Y,73000,6.5,2000,0,2000
Rom,Hitchens,M,810,1001432,NEW TROY,MI,49119,M,N,100000,3.9,0,6200,0
Takis,Tait,M,878,1000853,CLINTONVILLE,PA,16372,S,Y,49000,3.07,0,0,0
Saniya,Manocha,F,215,1001177,ELIZABETHTOWN,PA,17022,S,Y,29500,3.07,0,0,0
Anatole,Rover,M,224,1000356,PINCKNEYVILLE,IL,62274,S,Y,98500,3.0,2000,0,2000
Kozi,Eskesen,M,682,1000015,HOUSTON,TX,77223,S,Y,22000,0.0,0,0,0
Tader,Drabenstott,F,386,1000427,ORLANDO,FL,32803,S,Y,71500,0.0,0,0,0
Junguk,Cichocki,M,972,1001053,SEABROOK,TX,77586,M,N,73000,0.0,0,0,0
Val,Topaloglou,F,857,1001947,LYNN,MA,1901,M,N,15500,5.3,0,7150,0
Tremaine,Krevner,F,205,1004383,MONTROSE,AL,36559,S,Y,53000,5.0,1500,0,300
HongJiang,Viehstaedt,F,228,1002662,LUMBERTON,MS,39455,S,Y,87000,5.0,6000,0,1500
Persi,Papachristidis,F,315,1000127,ROCHESTER,NY,14683,M,N,8000,4.0,0,0,0
Manish,Roullet,F,443,1004652,REHOBETH,MD,21857,M,N,86500,4.75,0,4800,0
Tetsurou,Chamillard,F,318,1001929,SINGER,LA,70660,M,N,33000,6.0,0,9000,0
Lorinda,Rozoy,M,717,1000094,GREENSBURG,PA,15606,M,N,54500,3.07,0,0,0
Alak,Hongyuan,M,412,1000144,SCHUYLKILL HAVEN,PA,17972,M,N,66500,3.07,0,0,0
Monte,Tautenhahn,M,909,1000036,MANHATTAN BEACH,CA,90267,S,Y,12000,2.341154,87,0,272
Sendhil,Koepf,M,850,1000239,MIAMI,FL,33199,M,Y,93000,0.0,0,0,0
Byoung,Kurematsu,M,240,1001368,SANDY SPRING,MD,20860,S,Y,40000,4.75,2400,0,2400
Cynthia,Chelegatski,F,865,1001501,TREZEVANT,TN,38258,M,N,34500,0.0,0,0,0
Tsipora,Schrooten,F,787,1010137,SANTA ISABEL,PR,757,M,N,99000,0.0,0,0,0
Tomlinson,Roura,M,616,1000339,GRANDVILLE,MI,49468,M,N,79500,3.9,0,6200,0
Khanh,Doroslovacki,F,541,1006665,TERREBONNE,OR,97760,M,N,11500,9.0,0,318,0
Afsar,Rackoff,F,276,1000649,ROCKVILLE,VA,23146,M,N,64500,5.75,0,1800,0
Dmitry,Ponceleon,F,304,1001523,INDORE,WV,25111,M,N,26000,4.12,0,4000,0
Chyuan,Haller,M,478,1001122,MACON,GA,31202,S,Y,87000,6.0,2700,0,3000
