student_id,first_name,last_name,academic_year,semester,department,program_degree,residency_status,citizenship,status,campus_zone,aid_type,advisor_rank,tuition_fee,lab_fee,services_fee,credits_completed_previously,credits_registered,thesis_proposal_date,thesis_submission_date,internship_hours,country,university_email,gov_id,total_invoice_amount,financial_aid_amount,zip_code,city,state,advisor_id,dorm_room_id,dorm_building
11b1148d,Christine,Moore,3,Fall 2024,Engineering,PhD,In-State,Domestic,Active,Zone B,Scholarship,Senior Faculty,8802.11,1086.26,1033.31,127,10,2024-08-12,2024-12-01,106,India,christine.moore@univ.edu,147-69-5966,10921.68,746.77,74606,New Jonathan,NE,ADV_ENG_2,195,West Wing
584f0eeb,Angela,Wilkerson,2,Fall 2024,Mathematics,MS,Out-of-State,Foreign_National,Probation,Zone B,,Adjunct,23950.87,1512.27,866.61,38,14,2024-09-18,2024-07-11,68,USA,angela.wilkerson@univ.edu,323-20-0126,26329.75,1547.42,60601,Chicago,IL,ADV_MAT_3,130,South Hall
63bd0178,David,Schneider,3,Fall 2024,Nursing,BS,Out-of-State,Foreign_National,Graduated,Zone A,,Senior Faculty,6539.85,1322.83,694.89,51,6,2024-04-29,2025-02-03,53,USA,david.schneider@univ.edu,010-99-5500,8557.57,50000.0,90210,Beverly Hills,CA,ADV_GEN_02,161,East Wing
47716482,Elizabeth,Baker,4,Fall 2024,Computer Science,MS,International,Domestic,Withdrawn,Zone B,Scholarship,Senior Faculty,13974.6,428.38,1152.58,109,9,2024-05-05,2024-01-28,49,USA,elizabeth.baker@univ.edu,335-19-6107,15555.56,1040.74,77001,Houston,TX,ADV_COM_2,138,South Hall
496ddfaa,Stacey,Anderson,1,Fall 2024,Computer Science,PhD,In-State,Domestic,Active,Zone B,Tuition_Waiver,Adjunct,16172.52,1012.4,1014.28,128,15,2024-08-12,2024-10-11,38,USA,stacey.anderson@univ.edu,226-59-8333,18199.2,1169.13,77001,Houston,TX,ADV_COM_4,122,South Hall
492c145f,Rebecca,Turner,3,Fall 2024,Engineering,PhD,Out-of-State,Foreign_National,Withdrawn,Zone B,Grant,Junior Faculty,14196.74,1213.58,939.69,140,11,2023-12-09,2023-10-13,285,USA,rebecca.turner@univ.edu,564-47-4620,16350.01,878.66,77001,Houston,TX,ADV_ENG_1,113,West Wing
eb7fb03e,Julie,Williamson,4,Fall 2024,Physics,PhD,International,Domestic,Active,Zone A,Scholarship,Junior Faculty,13295.89,1526.93,1304.23,169,5,2024-07-27,2024-12-19,232,USA,julie.williamson@univ.edu,427-18-9489,16127.05,858.5,77001,Houston,TX,ADV_PHY_2,143,East Wing
2f981e44,Danny,Brown,1,Fall 2024,Mathematics,BS,Exchange,Domestic,Active,Zone B,Grant,Senior Faculty,6022.49,1954.44,942.14,22,15,2024-04-10,2025-09-17,112,USA,danny.brown@univ.edu,256-01-4067,942.14,441.31,10001,New York,NY,ADV_MAT_1,174,South Hall
2d37d120,Denise,Gould,4,Fall 2024,History,PhD,Out-of-State,Foreign_National,Graduated,Zone A,Scholarship,Adjunct,16829.61,953.2,837.95,197,6,2024-11-16,2024-10-24,81,Canada,denise.gould@univ.edu,565-73-1011,18620.76,62.22,28580,Woodview,VT,ADV_GEN_01,179,East Wing
073bca43,Tiffany,Warren,6,Fall 2024,Physics,MS,Out-of-State,Domestic,Active,Zone B,Grant,Senior Faculty,19723.52,770.57,1240.48,86,8,2024-03-14,2024-04-30,186,USA,tiffany.warren@univ.edu,025-25-4788,21734.57,1193.39,10001,New York,NY,ADV_PHY_4,199,West Wing
